marque,version,annee,kilometrage,energie,emission_C02,consommation_mixte,transmission,portes,puissance_fiscale,places,lieu,prix
Renault,Modus 1.5 dCi 80 Confort Dynamique,2004,156000,Diesel,122,4.6,Manuelle,4,5,5,81300,3700
Renault,Mégane IV Berline TCe 140 EDC FAP Business,2019,4700,Essence,125,5.5,Automatique,4,7,5,85800,18500
Renault,Clio E-Tech 140 - 21N Intens,2022,2000,Hybride,null,null,Automatique,4,5,5,83400,21700
Toyota,Edition 1.8 hybrid 122ch,2022,10,Hybride,null,null,Automatique,4,5,null,null,27470
Renault,Laguna 1.9 DTI RTE,1999,320000,Diesel,null,5.5,Manuelle,4,6,5,28400,2000
Citroën,2 CV 6 Special,1986,96700,Essence,null,null,Manuelle,4,3,5,31250,12000
Volkswagen,Coccinelle Cabriolet 2.0 TDI 150 BMT Club,2015,92600,Diesel,118,4.6,Manuelle,2,8,4,91830,18100
Renault,Scenic 1.9 dCi 130 Exception,2008,173300,Diesel,159,6.0,Manuelle,4,8,5,63200,4000
BMW,320d 177ch Confort,2008,212500,Diesel,128,4.8,Manuelle,4,9,5,60126,6800
Citroën,C3 1.4 HDi 70 Airdream Airplay,2009,115000,Diesel,115,4.4,Manuelle,4,4,5,93500,3800
Citroën,C3 Aircross PureTech 110 S&S BVM6 Shine,2021,2800,Essence,null,null,Manuelle,4,6,5,25600,19800
Renault,Twingo II 1.5 dCi 65 eco2 Art Collection,2009,209200,Diesel,113,4.3,Manuelle,2,4,4,42300,2450
MERCEDES,elegance,2006,72000,Diesel,null,null,Manuelle,4,null,5,35150,7900
Audi,TT 1.8T,2000,149000,Essence,194,8.1,Manuelle,2,11,4,29720,10500
Fiat,500 1.2 69 ch Lounge,2017,48500,Essence,115,4.9,Manuelle,2,4,4,22100,9500
Peugeot,3008 1.6 HDi 16V 110ch FAP Premium Pack,2009,190500,Diesel,137,5.1,Manuelle,4,6,5,63200,5500
Opel,Astra 1.7 CDTI - 110 FAP ecoFLEX Cosmo,2011,171200,Diesel,119,4.5,Manuelle,4,6,5,56500,5200
Toyota,Land Cruiser 3.0 TD VX,1999,160000,Diesel,null,11.1,Manuelle,4,10,5,48100,7000
Fiat,Doblo Panorama 1.6 Multijet 120 ch,2017,61500,Diesel,144,null,Manuelle,4,7,5,29360,14500
Renault,Super 5 Five,1995,130000,Essence,null,null,Manuelle,2,6,5,75012,4900
Renault,Kadjar TCe 130 Energy Intens,2017,43800,Essence,130,5.8,Manuelle,4,7,5,29170,14200
Mercedes,Classe CLA 45 AMG 4Matic Speedshift DCT A,2016,66000,Essence,171,7.3,Automatique,4,26,5,01800,39500
Renault,Mégane 1.9 DCI Authentique,2017,40600,Diesel,139,5.2,Manuelle,4,6,5,59770,14900
Volkswagen,Polo 1.2 60 Style,2011,136100,Essence,128,5.5,Manuelle,2,4,5,73660,5990
Renault,30 TX,1965,72000,Essence,null,null,Manuelle,4,15,5,62500,9000
Volkswagen,Golf 1.4i,1999,191000,Essence,158,6.6,Manuelle,4,5,5,77250,2250
Renault,Clio dCi 90 E6C Intens,2019,47000,Diesel,104,4.0,Manuelle,4,5,5,45470,12990
Ford,Mondeo 2.0 DI - 115 Ambiente,2001,269000,Diesel,156,5.9,Manuelle,4,7,5,88290,1800
Renault,Scénic 1.9 DCI - 105 Air,2002,170911,Diesel,157,5.9,Manuelle,4,6,5,59290,1400
Renault,Express Break 1.6 D,1986,289500,Diesel,null,null,Manuelle,2,5,5,18270,1200
Renault,Mégane IV Berline Blue dCi 115 - 20 Intens,2020,15600,Diesel,null,null,Manuelle,4,6,5,45170,19690
Honda,Jazz Hybrid 1.3  i-VTEC + IMA CVT,2011,98000,Hybride,104,4.5,Automatique,4,4,5,83400,9200
Ford,Fiesta 1.0 EcoBoost 95 ch S&S BVM6 Cool & Connect,2020,21200,Essence,94,4.1,Manuelle,4,5,5,19350,12300
Peugeot,405 1.6i GR,1993,84510,Essence,null,null,Manuelle,4,7,5,57100,3900
BMW,118d 143 ch Confort A,2012,168000,Diesel,140,5.3,Automatique,2,8,4,11100,8500
Renault,Captur dCi 90 Energy eco² Business,2016,92000,Diesel,95,3.6,Manuelle,4,4,5,44170,9780
Citroën,DS3 PureTech 110 S&S BVM Executive,2017,80000,Essence,100,4.3,Manuelle,2,5,5,69720,12900
Jaguar,S-Type 2.7 V6 D Bi-Turbo Classic A,2005,150000,Diesel,208,8.0,Automatique,4,13,5,65000,5000
Peugeot,307 CC 1.6e 16V 110ch Navteq on Board,2008,130000,Essence,178,7.6,Manuelle,2,7,4,30800,4500
Ford,Kuga 1.5 Flexifuel-E85 150 S&S 4x2 BVM6 Titanium,2019,65000,Autres,170,6.9,Manuelle,4,9,5,64990,19900
Renault,19 Cabriolet 1.8i,1993,175000,Essence,null,null,Manuelle,2,9,4,77250,2800
Renault,Scenic TCe 160 FAP Intens,2019,9500,Essence,136,6.0,Manuelle,4,9,5,45000,21250
Volkswagen,Coccinelle Cabriolet 1.4 TSI 160 Vintage,1974,100000,Essence,158,6.8,Manuelle,2,9,4,33950,22000
Peugeot,2008 1.6 e-HDi 115ch FAP BVM6 Féline Titane,2014,56000,Diesel,105,4.0,Manuelle,4,6,5,83860,12000
Citroën,Xsara Break 2.0 HDi - 90 Tendance,2006,224136,Diesel,144,5.5,Manuelle,4,5,5,41170,2000
Peugeot,3008 Puretech 130ch S&S EAT8 Allure Pack,2021,3960,Essence,null,null,Automatique,4,7,5,95550,32600
Mazda,929 2.0 LTD Super Spec.,1983,270003,Essence,null,null,Manuelle,4,9,5,13012,300
Mercedes,SLK200 A,1998,283000,Essence,220,9.3,Automatique,2,9,2,27950,7999
Porsche,Cayenne 4.8 V8 Turbo Tiptronic S A,2008,104000,Essence,358,14.9,Automatique,4,43,5,92330,33000
Peugeot,3008 Puretech 130ch S&S EAT8 Allure Pack,2021,3000,Essence,null,null,Automatique,4,7,5,83500,34000
Renault,Clio III dCi 75 eco2 20th Euro 5,2011,56000,Diesel,106,4.0,Manuelle,2,4,5,93190,8000
Opel,Corsa 1.2 Turbo 100 ch BVM6 GS Line,2021,3500,Essence,null,null,Manuelle,4,5,5,68720,18000
Toyota,Yaris Hybride 100h SkyBlue,2016,85248,Hybride,82,3.6,Automatique,4,3,5,78330,11800
Opel,Corsa 1.3 CDTI - 75 ch FAP 150ème Anniversaire,2012,130000,Diesel,112,4.2,Manuelle,4,4,5,06200,5500
Dacia,Duster 1.5 dCi 110 4x2 Ambiance,2012,124111,Diesel,130,5.0,Manuelle,4,6,5,20137,8000
BMW,318i,1993,111930,Essence,null,null,Manuelle,4,9,5,81500,4900
Honda,CR-V 1.6  i-DTEC 2WD Executive Navi,2015,135000,Diesel,124,4.7,Manuelle,4,6,5,49280,11500
Opel,Astra 1.4 Twinport Essentia,2004,170000,Essence,151,6.3,Manuelle,4,6,5,64121,2000
Renault,Twingo II Tce 100 Gordini,2013,53000,Essence,130,5.7,Manuelle,2,6,4,06140,10500
Lancia,Ypsilon 1.3 16v Multijet,2004,90000,Diesel,119,4.6,Manuelle,2,4,4,17140,2500
Opel,Astra Cabriolet 1.6 16V Twinport Bertone,2003,33000,Essence,161,6.7,Manuelle,2,6,4,59600,10000
Ford,Mondeo Vignale 2.0 Hybrid 187 BVA6,2018,32000,Hybride,92,4.2,Automatique,4,7,5,62100,21500
Peugeot,3008 1.6 e-HDi 112ch FAP BMP6 BLUE LION Active,2011,118000,Diesel,117,null,Semi automatique,4,6,5,33720,8100
Mercedes,190 D 2.5 Tbo,1992,238590,Diesel,null,null,Manuelle,4,8,5,59860,3300
Mercedes,Classe A 180 d 7G-DCT AMG Line,2019,36500,Diesel,null,null,Automatique,4,6,5,60400,28000
Peugeot,RCZ 2.0 HDi FAP 163ch,2010,153000,Diesel,139,5.3,Manuelle,2,9,4,34500,10000
Honda,CR-V 2.0 EX i-VTEC,2003,142000,Essence,216,9.1,Manuelle,4,10,5,84100,6250
Renault,Captur E-Tech 145 - 21 Intens,2022,1500,Hybride,null,null,Automatique,4,5,5,83400,26700
Peugeot,407 SW 2.0 HDi 16V 163ch FAP Premium Pack A,2010,220000,Diesel,179,6.9,Automatique,4,10,5,77480,3300
Chevrolet,Corvette Cabriolet A,1988,108000,Essence,null,12.1,Automatique,2,30,2,33950,19950
Volkswagen,Golf TDI 90 GT,1994,353000,Diesel,null,5.3,Manuelle,2,5,5,28400,2700
Jaguar,XJS-C 4.0 A,1994,150000,Essence,null,null,Automatique,2,38,2,65000,22900
Mini,Mini Clubman Cooper D 150 ch BVA8,2018,82000,Diesel,113,4.3,Automatique,4,8,5,40300,20990
Mercedes,Classe CLA Coupé 200 d 8G-DCT AMG Line,2019,19700,Diesel,104,3.9,Automatique,4,7,5,07370,34000
Citroën,C3 Pluriel HDi 70,2004,250000,Diesel,125,4.7,Manuelle,2,4,5,62590,1400
Chrysler,300C 3.0 CRD A,2006,162000,Diesel,215,8.1,Automatique,4,14,5,83500,13500
Volkswagen,Golf 1.6 D C,1982,130400,Diesel,null,null,Manuelle,2,5,5,28400,3300
Volkswagen,Golf 1.6 TDI 105 FAP CR BlueMotion 99gr Trendline,2010,182807,Diesel,99,3.8,Manuelle,2,5,5,04140,5700
Audi,A4 1.6i A,1996,135000,Essence,null,null,Automatique,4,10,5,94110,1500
Mercedes,Classe C Break 200 CDI Elégance,2007,330000,Diesel,171,6.5,Manuelle,4,7,5,62220,4100
Ford,C-MAX 1.6 TDCI 95 FAP Business,2013,100000,Diesel,117,4.5,Manuelle,4,5,5,24350,8500
Mercedes,GLA 200 d 7-G DCT Sensation,2018,57400,Diesel,152,5.9,Automatique,4,7,5,59155,27000
Cadillac,CTS 3.2 V6 A,2003,126500,Essence,276,11.7,Automatique,4,15,5,52100,6000
Citroën,Axel 1.1 Base,1972,90000,Essence,null,null,Manuelle,2,6,5,42150,7000
BMW,318d 150 ch BVA8 M Sport,2018,47500,Diesel,116,4.4,Automatique,4,8,5,65000,24900
Volkswagen,Golf TDI 110 Match II,1997,310000,Diesel,null,5.1,Manuelle,2,5,5,01200,600
Nissan,X-TRAIL 1.6 dCi 130 5pl  Xtronic Acenta,2017,26500,Diesel,135,5.1,Automatique,4,7,7,13012,23000
Citroën,C3 Aircross BlueHDi 110 S&S BVM6 Shine,2020,6000,Diesel,null,null,Manuelle,4,6,5,25200,21400
Mercedes,Classe E 220 BlueTEC Executive A,2014,78898,Diesel,117,4.5,Automatique,4,9,5,72140,20000
Fiat,Panda 1.0ie Base,1996,296000,Essence,40,null,Manuelle,2,4,4,72270,400
Fiat,Panda 1.0ie Colore,1996,295000,Essence,null,null,Manuelle,2,4,4,72270,400
MG,MG F 1.8i,2001,70860,Essence,178,7.4,Manuelle,2,8,2,24460,7000
BMW,Touring 316d 116 ch 119 g Lounge,2014,152000,Diesel,119,4.5,Manuelle,4,6,5,30250,12000
Citroën,BX 1.5 TGE,1989,145250,Essence,null,null,Manuelle,4,7,5,10310,650
Ssanyoung,Rexton II 270 XVT 186 Grand Luxe A,2010,167570,Diesel,233,9.2,Automatique,4,12,5,60400,9500
Citroën,XM D12 Tbo Harmonie,1990,320000,Diesel,null,null,Manuelle,4,6,5,50240,550
mercedes,300 D 4-Matic,1989,283000,Diesel,null,null,Manuelle,4,11,5,42100,3500
Auto,500 1.2 69 ch Club,1969,18510,Essence,115,4.9,Manuelle,2,4,4,10200,8000
Auto,Scenic III dCi 110 FAP eco2 Bose Energy,2012,134200,Diesel,105,4.1,Manuelle,4,5,5,33910,10500
Auto,C6 HDi 173 FAP,2007,200000,Diesel,175,6.6,Manuelle,4,10,5,50220,6000
Citroën,C3 Picasso BlueHDi 100 Attraction,2015,43000,Diesel,101,3.9,Manuelle,4,5,5,59730,10000
Mercedes,SL280 A,1982,102000,Essence,null,null,Automatique,2,16,2,92330,33000
Auto,330 d x Pack A,2001,196000,Diesel,232,8.7,Automatique,4,12,5,76440,6500
Peugeot,null,1997,20000,Essence,null,null,Automatique,null,null,null,81210,15000
Citroën,C3 Aircross BlueHDi 100 S&S BVM6 Shine,2019,34000,Diesel,null,null,Manuelle,4,5,5,18110,16700
Renault,Kadjar TCe 140 FAP Zen,2020,14000,Essence,null,null,Manuelle,4,7,5,45170,17600
Citroën,DS4 BlueHDi 180 S&S EAT6 Executive,2018,78880,Diesel,113,4.3,Automatique,4,9,5,32100,17650
Mini,Mini Cabriolet Cooper 136 ch,2017,34500,Essence,114,4.9,Manuelle,2,7,4,06600,20500
Citroën,C4 Coupé 1.6i 16V 110 VTS,2006,180000,Essence,169,7.1,Manuelle,2,7,5,69100,4700
Renault,Talisman Estate dCi 160 Energy EDC Initiale Paris,2016,123576,Diesel,120,4.6,Automatique,4,8,5,75019,14000
Hyundai,Tucson 1.7 CRDi 115 2WD Creative,2016,80000,Diesel,119,4.6,Manuelle,4,6,5,33360,15600
Mercedes,Classe GLC 300 d 9G-Tronic 4Matic AMG Line,2019,67000,Diesel,null,null,Automatique,4,14,5,42000,51000
Opel,Mokka 1.7 CDTI - 130 ch FAP 4x2 ecoFLEX Start&Stop Cosmo,2013,118216,Diesel,120,4.5,Manuelle,4,7,5,04200,8900
Alfa,Stelvio 2.2 210 ch Q4 AT8 Sport Edition,2018,53500,Diesel,127,4.8,Automatique,4,11,5,04160,36000
Citroën,C4 BlueHDi 130 S&S EAT8 Shine Pack,2020,1757,Diesel,null,null,Automatique,4,7,5,62320,25990
Mercedes,CLK 270 CDI Elégance A,2004,191000,Diesel,183,6.9,Automatique,2,10,4,13013,7000
Volkswagen,Golf 2.0 TSI 270 R 4Motion DSG6,2011,117300,Essence,195,8.4,Semi automatique,4,17,5,30000,19900
Peugeot,3008 2.0 HDi 16V 150ch FAP Féline,2010,150000,Diesel,149,5.7,Manuelle,4,8,5,77430,7900
Subaru,Forester 2.0D,2015,120000,Diesel,148,null,Manuelle,4,8,5,39000,12000
OPEL,Rakord,1976,27000,Diesel,null,null,Manuelle,4,null,4,40100,3000
Volkswagen,Touran 2.0 TDI 190 BMT DSG6 5pl Carat,2018,93000,Diesel,122,4.7,Automatique,4,10,5,30000,20500
Citroën,2 CV 6 Special,1986,16000,Essence,null,null,Manuelle,4,3,5,74380,14000
Peugeot,607 2.2 HDi Pack,2002,176000,Diesel,178,6.7,Manuelle,4,8,5,11510,3390
Trafic,Trafic Combi L2 dCi 125 Energy Zen,2018,95000,Diesel,145,5.6,Manuelle,4,7,8,33310,16500
Opel,Corsa 1.3 CDTI - 95 ch FAP Color Edition,2013,197000,Diesel,115,4.4,Manuelle,2,5,5,59280,5500
Citroën,C3 SOCIETE BLUEHDI 75 S&S 79G CONFORT,2016,46000,Diesel,79,3.0,Manuelle,4,3,2,17100,6800
Toyota,Land Cruiser 3.0 D4-D VX Gentleman Farmer,2001,141000,Diesel,253,9.5,Manuelle,2,11,5,16100,16500
Renault,Clio dCi 75 Energy Business,2016,35000,Diesel,85,3.3,Manuelle,4,4,5,97231,10500
Audi,80 1.9 Tbo Di,1994,9000,Diesel,null,null,Manuelle,4,5,5,97170,1000
Mercedes,C Coupé Sport 220 CDI Sport Edition,2005,202000,Diesel,167,6.3,Manuelle,2,9,4,11370,3500
Toyota,Yaris 70 VVT-i 20eme anniversaire,2019,6728,Essence,104,4.7,Manuelle,4,4,5,76600,13900
Toyota,Land Cruiser 190 D-4D Légende A,2014,94740,Diesel,213,8.1,Automatique,4,12,5,03500,38000
Renault,Clio Estate TCe 75 E6C Limited,2019,18500,Essence,113,5.0,Manuelle,4,4,5,24200,10590
Renault,Clio 1.2 16v Extrême,2004,99000,Essence,139,5.9,Manuelle,2,5,5,34130,3500
Nissan,Qashqai 1.6 dCi 130 All-Mode 4x4-i Tekna,2018,65000,Diesel,133,5.1,Manuelle,4,7,5,13120,18500
Peugeot,208 1.6 BlueHDi 100ch BVM5 Active,2016,107000,Diesel,90,3.5,Manuelle,4,5,5,63000,9200
